section,slug,original_name,cleaned_name,source
beisen,duxact,都正生物,都正生物,unchanged
beisen,dwywood1,大王椰,大王椰,unchanged
beisen,dymind,帝迈生物,帝迈生物,unchanged
beisen,dynanonic3,德方纳米2027届校招,德方纳米,table
beisen,echint,成都奕成科技股份有限公司,成都奕成科技股份有限公司,unchanged
beisen,ecmax,苏州极易科技股份有限公司,苏州极易科技股份有限公司,unchanged
beisen,ecosda,东方算芯,东方算芯,unchanged
beisen,egova,数字政通,数字政通,unchanged
beisen,enn,新奥集团,新奥集团,unchanged
beisen,enpower,英搏尔,英搏尔,unchanged
beisen,envicool,英维克,英维克,unchanged
beisen,eoptolink,成都新易盛通信技术股份有限公司,成都新易盛通信技术股份有限公司,unchanged
beisen,esign,e签宝招聘官网-杭州天谷信息科技有限公司,e签宝,table
beisen,esunny,易盛信息,易盛信息,unchanged
beisen,esunsoft,亿星软件,亿星软件,unchanged
beisen,eswin-si,西安奕斯伟材料科技股份有限公司,西安奕斯伟材料科技股份有限公司,unchanged
beisen,farben,法本信息,法本信息,unchanged
beisen,fast,法士特,法士特,unchanged
beisen,fedi,中国电建福建院,中国电建福建院,unchanged
beisen,feibo,飞博共创,飞博共创,unchanged
beisen,felicitysolar,菲利斯太阳能,菲利斯太阳能,unchanged
beisen,flyaitalent,泛联新安x校招门户,泛联新安,table
beisen,forlinx1,飞凌嵌入式招聘门户,飞凌嵌入式,table
beisen,foryouge,华阳通用-招聘门户,华阳通用,table
beisen,founderpcb,方科PCB,方科PCB,unchanged
beisen,fox-ess,麦田能源,麦田能源,unchanged
beisen,frontagelab,方达中国,方达中国,unchanged
beisen,frontop,凡拓数字,凡拓数字,unchanged
beisen,frsh,迅销（上海）企业管理咨询有限公司,迅销（上海）企业管理咨询有限公司,unchanged
beisen,fscut,柏楚电子,柏楚电子,unchanged
beisen,fullsemi,富芯半导体招聘网申,富芯半导体,table
beisen,fusion-materials,聚和材料,聚和材料,unchanged
beisen,fzzixun,紫讯科技,紫讯科技,unchanged
beisen,galaxea,星海图,星海图,unchanged
beisen,gccloud,科大国创云网招聘门户,科大国创云网,strip
beisen,gdadri,省建院,省建院,unchanged
beisen,gdhw,高德红外,高德红外,unchanged
beisen,geek3,极客未来招聘门户（新）,极客未来,table
beisen,gejian-semi,格见半导体,格见半导体,unchanged
beisen,gention,格通智联,格通智联,unchanged
beisen,genxinyuecom,亘芯悦,亘芯悦,unchanged
beisen,gesac,厦门金鹭,厦门金鹭,unchanged
beisen,gktx,国科天迅,国科天迅,unchanged
beisen,goke1,湖南国科微电子股份有限公司,湖南国科微电子股份有限公司,unchanged
beisen,gongniu,公牛集团,公牛集团,unchanged
beisen,govee,智岩科技,智岩科技,unchanged
beisen,gravityxr,万有引力（宁波）电子科技有限公司,万有引力（宁波）电子科技有限公司,unchanged
beisen,gresgying,绿能慧充招聘门户,绿能慧充,table
beisen,gwpst,长城电源,长城电源,unchanged
beisen,gzlhjt,贵州磷化集团,贵州磷化集团,unchanged
beisen,gzupdc,市城规公司,市城规公司,unchanged
beisen,h618,航空工业自控所,航空工业自控所,unchanged
beisen,haid1,海大官网招聘门户,海大集团,table
beisen,haige,海格通信,海格通信,unchanged
beisen,hailiang8,海亮教育集团,海亮教育集团,unchanged
beisen,hanyao,邯药公司,邯药公司,unchanged
beisen,hayao,哈药集团股份有限公司,哈药集团股份有限公司,unchanged
beisen,hcmicro,华创微官方网申渠道,江苏华创微系统有限公司,table
beisen,hdcq,陕西汉德车桥有限公司,陕西汉德车桥有限公司,unchanged
beisen,hec,东阳光,东阳光,unchanged
beisen,hellobike,上海哈啰普惠科技有限公司,上海哈啰普惠科技有限公司,unchanged
beisen,hengan1,恒安集团,恒安集团,unchanged
beisen,hengdian,横店集团控股有限公司,横店集团控股有限公司,unchanged
beisen,hengdian-ie,浙江横店进出口有限公司,浙江横店进出口有限公司,unchanged
beisen,hengdian2,英洛华科技股份有限公司,英洛华科技股份有限公司,unchanged
beisen,henlius,复宏汉霖Henlius,复宏汉霖Henlius,unchanged
beisen,hetao101,核桃编程,核桃编程,unchanged
beisen,hibr,翰博高新材料（合肥）股份有限公司,翰博高新材料（合肥）股份有限公司,unchanged
beisen,highpowertech,豪鹏科技,豪鹏科技,unchanged
beisen,highstar,江苏海四达电源有限公司,江苏海四达电源有限公司,unchanged
beisen,higold,悍高集团,悍高集团,unchanged
beisen,hillstonenet,山石网科通信技术股份有限公司,山石网科通信技术股份有限公司,unchanged
beisen,himile,豪迈,豪迈,unchanged
beisen,histudy,快乐学习,快乐学习,unchanged
beisen,hisunpharm,海正药业,海正药业,unchanged
beisen,hitachienergy,日立能源,日立能源,unchanged
beisen,hitrendtech1,钜泉科技招聘网,钜泉科技,table
beisen,hkaco,虹科招聘--Science leads Success,虹科,table
beisen,holley,华立科技股份有限公司,华立科技股份有限公司,unchanged
beisen,hollyland,昊一源,昊一源,unchanged
beisen,homa-hr,广东奥马冰箱有限公司,广东奥马冰箱有限公司,unchanged
beisen,hongdu,江西洪都航空工业集团有限责任公司,江西洪都航空工业集团有限责任公司,unchanged
beisen,hopewind,禾望电气,禾望电气,unchanged
beisen,hrbbcf1,哈银消费金融,哈银消费金融,unchanged
beisen,hrnordkete,诺德凯（苏州）智能装备有限公司,诺德凯（苏州）智能装备有限公司,unchanged
beisen,hsingchen,“芯之所向 星耀未来”湖北星辰-2027,湖北星辰技术有限公司,table
beisen,huace,华测导航,华测导航,unchanged
beisen,hudong,沪东中华造船集团,沪东中华造船集团,unchanged
beisen,huitian1,招聘门户网站,回天新材,table
beisen,hwatsing1,华海清科-2027,华海清科-2027,unchanged
beisen,hynitron,海栎创,海栎创,unchanged
beisen,hyxipower,华昱欣招聘门户,华昱欣,table
beisen,hzgnj,菇娘家,菇娘家,unchanged
beisen,hzncc,华中数控,华中数控,unchanged
beisen,ikingtec,云圣智能--招聘门户,云圣智能,table
beisen,ingin,恩井智控,恩井智控,unchanged
beisen,injet-instrument,英杰晨晖官方,英杰晨晖官方,unchanged
beisen,inm,一鸣,一鸣,unchanged
beisen,innosilicon,芯动科技,芯动科技,unchanged
beisen,insight-med,北芯生命,北芯生命,unchanged
beisen,intellif,云天励飞,云天励飞,unchanged
beisen,intelligents,中国航空无线电电子研究所,中国航空无线电电子研究所,unchanged
beisen,intsig,合合信息招聘门户,合合信息,table
beisen,irayple,华睿科技,华睿科技,unchanged
beisen,irootech,树根科技,树根科技,unchanged
beisen,istar-group,智慧星空(上海)工程技术有限公司,智慧星空(上海)工程技术有限公司,unchanged
beisen,iwhalecloud1,浩鲸科技,浩鲸科技,unchanged
beisen,jd-energy,西安奇点能源股份有限公司,西安奇点能源股份有限公司,unchanged
beisen,jdbchina,加多宝（中国）饮料有限公司,加多宝（中国）饮料有限公司,unchanged
beisen,jftech,杰峰物联,杰峰物联,unchanged
beisen,jieshun,深圳市捷顺科技实业股份有限公司（校园招聘）,捷顺科技,table
beisen,jifengseat,继峰座椅,继峰座椅,unchanged
beisen,jinbei,金杯电工股份有限公司,金杯电工股份有限公司,unchanged
beisen,jingpai,劲牌有限公司,劲牌有限公司,unchanged
beisen,jingxinpharm1,浙江京新药业股份有限公司,浙江京新药业股份有限公司,unchanged
beisen,jmgroup-o,JM华中华东区,JM华中华东区,unchanged
beisen,jnzhaopin,江南造船（集团）有限责任公司,江南造船（集团）有限责任公司,unchanged
beisen,joeone,九牧王股份有限公司,九牧王股份有限公司,unchanged
beisen,joinsilicon,中茵微电子,中茵微电子,unchanged
